site;date;day;month;year;number;unique.number;sex;spawning;time.h;time.end.h;time;time.end;sunrise;start.time.to.sunrise;sst
Arue_TdR;23/11/2021;23;11;2021;4;Arue_TdR4;MALE;YES;6.41;NA;6.683333333;NA;5.2166667;1.466666633;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;5;Arue_TdR5;MALE;YES;6.42;NA;6.7;NA;5.2166667;1.4833333;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;6;Arue_TdR6;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;7;Arue_TdR7;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;8;Arue_TdR8;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;9;Arue_TdR9;MALE;YES;6.49;NA;6.816666667;NA;5.2166667;1.599999967;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;10;Arue_TdR10;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;11;Arue_TdR11;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;12;Arue_TdR12;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;13;Arue_TdR13;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;14;Arue_TdR14;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;15;Arue_TdR15;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;16;Arue_TdR16;MALE;YES;7.02;NA;7.033333333;NA;5.2166667;1.816666633;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;17;Arue_TdR17;MALE;YES;7.07;NA;7.116666667;NA;5.2166667;1.899999967;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;18;Arue_TdR18;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;19;Arue_TdR19;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;20;Arue_TdR20;UNKNOWN;NO;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;21;Arue_TdR21;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;22;Arue_TdR22;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;23;Arue_TdR23;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;24;Arue_TdR24;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;25;Arue_TdR25;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;26;Arue_TdR26;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;27;Arue_TdR27;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;28;Arue_TdR28;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;29;Arue_TdR29;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Arue_TdR;23/11/2021;23;11;2021;30;Arue_TdR30;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2166667;NA;27.5999932795763
Maatea;23/11/2021;23;11;2021;1;Maatea1;FEMALE?;YES;7.36;NA;7.6;NA;5.2333333;2.3666667;27.4299932833761
Maatea;23/11/2021;23;11;2021;2;Maatea2;FEMALE?;YES;7.36;NA;7.6;NA;5.2333333;2.3666667;27.4299932833761
Maatea;23/11/2021;23;11;2021;3;Maatea3;FEMALE?;YES;7.36;NA;7.6;NA;5.2333333;2.3666667;27.4299932833761
Maatea;23/11/2021;23;11;2021;4;Maatea4;MALE;YES;7.33;NA;7.55;NA;5.2333333;2.3166667;27.4299932833761
Maatea;23/11/2021;23;11;2021;5;Maatea5;MALE;YES;7.43;NA;7.716666667;NA;5.2333333;2.483333367;27.4299932833761
Maatea;23/11/2021;23;11;2021;6;Maatea6;UNKNOWN;NOTCONTROLED;NA;NA;NA;NA;5.2333333;NA;27.4299932833761
Maatea;23/11/2021;23;11;2021;7;Maatea7;UNKNOWN;NO;NA;NA;NA;NA;5.2333333;NA;27.4299932833761
Maatea;23/11/2021;23;11;2021;8;Maatea8;UNKNOWN;NO;NA;NA;NA;NA;5.2333333;NA;27.4299932833761
Maatea;23/11/2021;23;11;2021;9;Maatea9;UNKNOWN;NO;NA;NA;NA;NA;5.2333333;NA;27.4299932833761
Maatea;23/11/2021;23;11;2021;10;Maatea10;MALE;YES;7.08;NA;7.133333333;NA;5.2333333;1.900000033;27.4299932833761
Maatea;23/12/2021;23;12;2021;1;Maatea1;MALE ?;YES;7.12;NA;7.2;NA;5.3833333;1.8166667;28.3699932623655
Maatea;23/12/2021;23;12;2021;2;Maatea2;FEMALE?;YES;7.4;NA;7.666666667;NA;5.3833333;2.283333367;28.3699932623655
Maatea;23/12/2021;23;12;2021;3;Maatea3;MALE?;YES;8.2;NA;8.333333333;NA;5.3833333;2.950000033;28.3699932623655
Maatea;23/12/2021;23;12;2021;4;Maatea4;MALE;YES;7.23;NA;7.383333333;NA;5.3833333;2.000000033;28.3699932623655
Maatea;23/12/2021;23;12;2021;5;Maatea5;MALE;YES;7.33;NA;7.55;NA;5.3833333;2.1666667;28.3699932623655
Maatea;23/12/2021;23;12;2021;6;Maatea6;MALE;YES;7.07;NA;7.116666667;NA;5.3833333;1.733333367;28.3699932623655
Maatea;23/12/2021;23;12;2021;7;Maatea7;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;28.3699932623655
Maatea;23/12/2021;23;12;2021;8;Maatea8;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;28.3699932623655
Maatea;23/12/2021;23;12;2021;9;Maatea9;UNKNOWN;NO;NA;NA;NA;NA;5.3833333;NA;28.3699932623655
Maatea;23/12/2021;23;12;2021;10;Maatea10;MALE;YES;7.08;NA;7.133333333;NA;5.3833333;1.750000033;28.3699932623655
AME BORA BORA;23/12/2021;23;12;2021;1;AME BORA BORA1;MALE;YES;7.12;7.4;7.2;7.066666667;5.5333333;1.6666667;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;2;AME BORA BORA2;MALE;YES;7.2;NA;7.333333333;NA;5.5333333;1.800000033;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;3;AME BORA BORA3;MALE;YES;7.24;7.4;7.4;7.066666667;5.5333333;1.8666667;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;4;AME BORA BORA4;MALE;YES;7.1;7.42;7.166666667;7.7;5.5333333;1.633333367;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;5;AME BORA BORA5;MALE;YES;7.26;7.49;7.433333333;7.816666667;5.5333333;1.900000033;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;6;AME BORA BORA6;UNKNOWN;NO;NA;NA;NA;NA;5.5333333;NA;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;7;AME BORA BORA7;MALE;YES;7.22;7.4;7.366666667;7.066666667;5.5333333;1.833333367;28.4999932594598
AME BORA BORA;23/12/2021;23;12;2021;8;AME BORA BORA8;MALE;YES;7.25;7.4;7.416666667;7.066666667;5.5333333;1.883333367;28.4999932594598
