country,island,site,habitat,depth,latitude,longitude,date,season,h_start,h_sunrise,h_after_sunrise
French Polynesia,Moorea,Tiki village,Lagoon,2,-17.529101,-149.90748,2020-12-04,2020-2021,7.1,5.27527777777778,1.8247222222222197
French Polynesia,Moorea,Tiki village,Lagoon,2,-17.529101,-149.90748,2021-04-02,2020-2021,7.63333333333333,6.10277777777778,1.5305555555555506
French Polynesia,Raiatea,Pufau,Lagoon,2,-16.762599,-151.492126,2020-11-05,2020-2021,7.03333333333333,5.43527777777778,1.5980555555555496
French Polynesia,Tahaa,Baie rae,Lagoon,2,-16.620517,-151.432817,2020-12-04,2020-2021,7.16666666666667,5.405,1.7616666666666694
French Polynesia,Bora Bora,Pointe Raititi,Lagoon,2,-16.53283,-151.747537,2020-11-05,2020-2021,7.3,5.45722222222222,1.8427777777777798
French Polynesia,Bora Bora,Pointe Raititi,Lagoon,2,-16.53283,-151.747537,2020-12-04,2020-2021,7,5.42861111111111,1.5713888888888903
French Polynesia,Bora Bora,Bloody Marys,Lagoon,5,-16.52982,-151.727849,2020-11-05,2020-2021,7,5.45583333333333,1.54416666666667
French Polynesia,Bora Bora,Bloody Marys,Lagoon,5,-16.52982,-151.727849,2020-12-04,2020-2021,6.83333333333333,5.4275,1.4058333333333302
French Polynesia,Bora Bora,Bloody Marys,Lagoon,5,-16.52982,-151.727849,2021-03-03,2020-2021,7.35,6.12305555555556,1.22694444444444
French Polynesia,Bora Bora,Bloody Marys,Lagoon,5,-16.52982,-151.727849,2021-04-02,2020-2021,7.41666666666667,6.21777777777778,1.1988888888888898
French Polynesia,Bora Bora,Matira,Lagoon,2,-16.5365,-151.7409,2020-11-05,2020-2021,7.58333333333333,5.45666666666667,2.1266666666666607
French Polynesia,Bora Bora,Matira,Lagoon,2,-16.5365,-151.7409,2020-12-04,2020-2021,6.83333333333333,5.42805555555556,1.40527777777777
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2020-12-04,2020-2021,6.75,5.42833333333333,1.3216666666666699
French Polynesia,Bora Bora,Ame,Lagoon,2,-16.524429,-151.739351,2021-04-02,2020-2021,7.53333333333333,6.21833333333333,1.3149999999999995
French Polynesia,Bora Bora,Pointe Taihi,Lagoon,2,-16.465298,-151.743954,2020-11-05,2020-2021,7.5,5.45833333333333,2.0416666666666696
French Polynesia,Bora Bora,Pointe Taihi,Lagoon,2,-16.465298,-151.743954,2020-12-04,2020-2021,7,5.43055555555556,1.5694444444444402
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2020-11-05,2020-2021,7.3,5.49194444444444,1.8080555555555602
French Polynesia,Maupiti,Petit lagon bleu,Lagoon,5,-16.473867,-152.2525,2020-12-04,2020-2021,6.98333333333333,5.46416666666667,1.51916666666666
